Issue ID,Judul
4,Implementasi Gabungan Metode Bayesian dan Backpropagation untuk Peramalan Jumlah Pengangguran Terbuka di Indonesia
4,Prediksi Jumlah Pengangguran Terbuka di Indonesia menggunakan Metode Genetic-Based Backpropagation
4,Halaman Sampul
5,Penentuan Siswa Berprestasi Menggunakan Metode K-Nearest Neighbor dan Weighted Product (Studi Kasus : SMP Negeri 3 Mejayan)
5,Sistem Pendeteksi Pencemaran Udara Ambien Di Kawasan Lumpur Lapindo Dengan Menggunakan Logika Fuzzy
5,Identifikasi Penyakit Tanaman Jarak Pagar Menggunakan Metode Fuzzy K-Nearest Neighbor (FK-NN)
5,Penerapan Metode K-Nearest Neighbor (KNN) dan Metode Weighted Product (WP) Dalam Penerimaan Calon Guru Dan Karyawan Tata Usaha Baru Berwawasan Teknologi (Studi Kasus : Sekolah Menengah Kejuruan Muhammadiyah 2 Kediri)
5,Implementasi Sistem Kontrol dan Monitoring pH pada Tanaman Kentang Aeroponik secara Wireless
5,Pemodelan Sistem Pakar Diagnosis Penyakit Tanaman Apel Manalagi Dengan Metode Backward Chaining Menggunakan Certainty Factor
5,Klasifikasi Tweets Pada Twitter Dengan Menggunakan Metode Fuzzy K-Nearest Neighbour (Fuzzy K-NN) dan Query Expansion Berbasis Apriori
5,Perancangan Pengendali Rumah menggunakan Smartphone Android dengan Konektivitas Bluetooth
5,"Sistem Pakar Diagnosis Penyakit Demam: DBD, Malaria dan Tifoid Menggunakan Metode K-Nearest Neighbor - Certainty Factor"
5,Sistem Pendeteksi Dehidrasi Berdasarkan Warna dan Kadar Amonia pada Urin Berbasis Sensor TCS3200 Dan MQ135 dengan Metode Naive Bayes
5,Halaman Sampul
6,Sistem Kendali Berbasis Mikrokontroler Menggunakan Protokol MQTT pada Smarthome
6,Implementasi Algoritma Genetika Untuk Penjadwalan Customer Service (Studi Kasus: Biro Perjalanan Kangoroo)
6,Implementasi Pengiriman Data Sensor LM35 untuk Perbandingan Waktu Insert pada Basis Data MySQL dan MongoDB
6,Perbandingan Jumlah Membership Dan Model Fuzzy Terhadap Perubahan Suhu Pada Inkubator Penetas Telur
6,Pengembangan Sistem Monitoring Listrik Pada Ruangan Menggunakan NodeMCU dan MQTT
6,Implementasi Sensor Akselerometer pada Lengan Manusia untuk Mengendalikan Pergerakan Lengan Robot
6,Deteksi Kesalahan Ejaan dan Penentuan Rekomendasi Koreksi Kata yang Tepat Pada Dokumen Jurnal JTIIK Menggunakan Dictionary Lookup dan Damerau-Levenshtein Distance
6,Identifikasi Penyakit Diabetes Mellitus Menggunakan Metode Modified K-Nearest Neighbor (MKNN)
6,Analisis Penerimaan OS Windows 10 Dengan Unified Theory of Acceptance and Use of Technology 2 (UTAUT2)
6,Implementasi Low Power Wireless Sensor Network Untuk Pengukuran Suhu Berbasis NRF Dengan Penjadwalan Pengiriman Data
6,Halaman Sampul
7,Prediksi Penerimaan Zakat menggunakan Metode Support Vector Regression (SVR) dengan Flower Pollination Algorithm (FPA)
7,Implementasi Wireless Sensor Network pada Pemantauan Kondisi Struktur Bangunan Menggunakan Sensor Accelerometer MMA7361
7,Implementasi Jaringan Syaraf Tiruan Backpropagation untuk Mendiagnosis Penyakit Kulit pada Anak
7,Pengembangan Aplikasi Health Communication Board Berbasis Kendali Pergerakan Linear HEMOCS (Head Movement Control System)
7,Optimasi Komposisi Pakan Untuk Penggemukan Sapi Potong Menggunakan Algoritma Genetika
7,Pendeteksi Jenis Autis pada Anak Usia Dini Menggunakan Metode Linear Discriminant Analysis (LDA)
7,Analisis Performansi dan Skalabilitas pada Event-Based IoT Middleware
7,Sistem Pendukung Keputusan Penentuan Tingkat Keparahan Autis Menggunakan Metode Fuzzy K-Nearest Neighbor
7,Pengembangan Sistem Informasi Bimbingan Konseling Siswa Pada SMP Negeri 1 Panarukan
7,Rancang Bangun Aplikasi Messaging Berbasis Voice Interaction Bagi Penderita Tunanetra Pada Sistem Operasi Android
7,Halaman Sampul
8,Rancang Bangun Aplikasi Sistem Informasi Manajemen Laboratorium Biomedik Fakultas Kedokteran Universitas Brawijaya
8,Clustering Data Kejadian Tsunami Yang Disebabkan Oleh Gempa Bumi Dengan Menggunakan Algoritma K-Medoids
8,Analisis Usability pada Website Jawa Timur Park Group dengan Heuristic Evaluation
8,Sistem Monitoring Cairan Infus Terpusat Menggunakan Pengolahan Citra Digital
8,Pengembangan Centralized Smarthome Simulator Sebagai Solusi Penghematan Biaya Listrik Menggunakan Algoritma K-Means
8,Optimasi Model Himpunan Keanggotaan Fuzzy Menggunakan Algoritme Evolution Strategies (Pada Data Diagnosis Penyakit Sapi Potong)
8,Integrasi Metode Pengalamatan Dinamis Treecast Dan Sinkronisasi Waktu Dengan Reference Broadcast Synchronization Pada Sensor Network
8,Pengembangan Aplikasi Respons Sms Dan Panggilan Telepon Menggunakan Android Text To Speech Dan Proximity Sensor Bagi Pengemudi Mobil
8,Pengembangan Arduino Code Builder Pada Sistem Simulator Smart Home Dengan Rule Terdistribusi
8,"Implementasi Perlindungan Peretasan Google In App Purchase dengan Metode One Time Server Side Verfication, Verification Bypass Detection, dan Obfuscator pada Aplikasi Informasi Cuaca Android"
8,Halaman Sampul
9,Penerapan Mixed Reality Sebagai Sarana Pembelajaran Indera Penglihatan Manusia Menggunakan Teknologi Hologram
9,Implementasi Metode K-Medoids Clustering Untuk Pengelompokan Data Potensi Kebakaran Hutan/Lahan Berdasarkan Persebaran Titik Panas (Hotspot)
9,Sistem Pendukung Keputusan Budidaya Tanaman Cabai Berdasarkan Prediksi Curah Hujan
9,Pengembangan Game Karambol Pada Interactive Projected Display
9,Algoritme Genetik untuk Optimasi Pembentukan Fungsi Regresi Linier dalam Menentukan Kebutuhan Volume Air Penyiraman Tanah
9,Optimasi Komposisi Makanan untuk Penderita Hipertensi Menggunakan Variable Neighborhood Search
9,Rekayasa Kebutuhan dengan Metode Pemodelan Berbasis Linguistik dan Ontologi pada Sistem Penilaian Prestasi Kerja Pegawai Dinas Kominfo Kota Malang
9,Optimasi Penjadwalan Damping Mahasiswa Difabel Menggunakan Algoritma Genetika (Studi Kasus PSLD Universitas Brawijaya)
9,"Analisis Hubungan Kesadaran Keamanan, Privasi Informasi, dan Perilaku Keamanan Pada Para Pengguna Media Sosial Line"
9,Analisis Performa Mekanisme Error Recovery Menggunakan Automatic Repeat Request (ARQ) dan Forward Error Correction (FEC) pada Multi Receiver File Transfer
9,Analisis dan Implementasi Algoritma SHA-1 dan SHA-3 pada Sistem Autentikasi Garuda Training Cost
9,Analisis Perbandingan Metode K-Means Dengan Improved Semi-Supervised K-Means Pada Data Indeks Pembangunan Manusia (IPM)
9,Identifikasi Diagnosis Gangguan Autisme Pada Anak Menggunakan Metode Modified K-Nearest Neighbor (MKNN)
9,Analisis Penerimaan Pengguna Aplikasi Mobile UC Browser  Menggunakan Model Unified Theory of Acceptance and Use of Technology (UTAUT) dan Task Technology Fit (TTF)
9,Optimasi Multiple Travelling Salesman Problem Pada Pendistribusian Air Minum Menggunakan Algoritme Particle Swarm Optimization (Studi Kasus: UD. Tosa Malang)
9,Optimasi Multiple Travelling Salesman Problem Pada Pendistribusian Air Minum Menggunakan Algoritme Genetika (Studi Kasus: UD. Tosa Malang)
9,Penggunaan Ciri Geometric Invariant Moment pada Pengenalan Tanda Tangan
9,Implementasi Jaringan Sensor Nirkabel Dengan Metode Pengiriman Pembagian Slot Waktu Pada Sistem Deteksi Parkir Sepeda Motor
9,Implementasi Metode Fuzzy Subtractive Clustering Untuk Pengelompokan Data Potensi Kebakaran Hutan/Lahan
9,Pengukuran Kualitas Layanan Website Dinas Pendidikan Kota Malang Dengan Menggunakan Metode Webqual 4.0 dan IPA
9,Pemodelan Sistem Pakar Diagnosis Penyakit pada Sistem Endokrin Manusia dengan Metode Dempster-Shafer
9,Implementasi Load Balancing Di Web Server Menggunakan Metode Berbasis Sumber Daya CPU Pada Software Defined Networking
9,Implementasi Sistem Tracking Kereta Api dengan Protokol Publish Subscribe
9,Penerapan Fuzzy K-Nearest Neighbor (FK-NN) Dalam Menentukan Status Gizi Balita
9,Sistem Klasifikasi Status Gizi Bayi dengan Metode K-Nearest Neighbor Berbasis Sistem Embedded
9,Implementasi Sistem Pervasive Pada Smart Home Berbasis Bluetooth Versi 4.0 Menggunakan Modul BLE HM-10 dan Sensor
9,Implementasi Teknologi Websocket dalam Pengembangan Sistem Berbagi Lokasi Berbasis Web
9,Analisis Kinerja Protokol Routing OSPF dan EIGRP Untuk Aplikasi VoIP Pada Topologi Jaringan Mesh
9,Integrasi Protokol Sinkronisasi Waktu Reference Broadcast Synchronization (RBS) dan Pengiriman Data Flooding pada Wireless Sensor Node
9,Pembangunan Sistem Pengelolaan Bank Soal Ujian Pilihan Ganda Secara Online
9,Halaman Sampul
10,Optimasi Pembagian Tugas Dosen Pengampu Mata Kuliah Dengan Metode Particle Swarm Optimization
10,Klasifikasi Teks Bahasa Indonesia Pada Dokumen Pengaduan Sambat Online Menggunakan Metode K-Nearest Neighbors (K-NN) dan Chi-Square
10,Penerapan DPE Framework dalam  Perancangan Serious Game bagi Pengidap Kebutaan Nada
10,Pengenalan Citra Tanda Tangan Off-Line dengan Pemanfaatan Ciri Centroid Distance Function
10,Pendaratan Otomatis Quadcopter AR Drone Menggunakan Metode Linear Quadratic Regulator (LQR)
10,Pembangkitan Nilai Belief Pada Dempster-Shafer Dengan Particle Swarm Optimization (PSO) Untuk Penentuan Pasal Kasus Penganiayaan
10,Seleksi Fitur Dengan Particle Swarm Optimization Untuk Pengenalan Pola Wajah Menggunakan Naive Bayes (Studi Kasus Pada Mahasiswa Universitas Brawijaya Fakultas Ilmu Komputer Gedung A)
10,Sistem Pendukung Keputusan Untuk Pemilihan Penanaman Varietas Unggul Padi Menggunakan Metode AHP dan TOPSIS
10,Optimasi Penjadwalan Mata Pelajaran Menggunakan Algoritme Genetika (Studi Kasus: SMK Negeri 2 Kediri)
10,Analisis Perbedaan Pemahaman Antara Experienced dan Non-Experienced Smartphone User Terhadap Application Permission
10,Analisis Sentimen Pada Ulasan Aplikasi Mobile Menggunakan Naive Bayes dan Normalisasi Kata Berbasis Levenshtein Distance (Studi Kasus Aplikasi BCA Mobile)
10,Pengembangan Permainan Berbasis Augmented Reality pada Perangkat Bergerak sebagai Media untuk Meningkatkan Kepedulian pada Hewan Langka
10,Analisis Faktor-Faktor yang Memengaruhi Niat Pengguna Internet untuk Menggunakan Fungsi Single Sign On Google dengan Metode SEM (Structural Equation Modeling)
10,Optimasi Biaya Pemenuhan Asupan Gizi pada Makanan bagi Anak-Anak Menggunakan Metode Simpleks Dua Fase
10,Analisis Faktor-Faktor yang Memengaruhi Sikap Pengguna Twitter Tentang Pemberian Informasi Pribadi dengan Menggunakan Metode Structural Equation Modeling (SEM)
10,Implementasi Metode Fuzzy - AHP Menggunakan Optimasi Particle Swarm Optimization (PSO) untuk Rekomendasi Pemilihan Tanaman Pomologi
10,Implementasi Timing - Sync Untuk Sensor Networks Pada Jaringan Sensor Multihop
10,Analisis Faktor - Faktor Yang Memengaruhi Penggunaan Smartphone Dengan Menggunakan Metode Structural Equation Modeling (SEM)
10,Verifikasi Citra Tanda Tangan Berdasarkan Ciri Pyramid Histogram of Oriented Gradient (PHOG) Menggunakan Metode Klasifikasi K-Nearest Neighbor
10,Analisis Performansi H.264 dan H.265 pada Video Streaming dari Segi Quality Of Service
10,Analisis Perbandingan Performansi Protokol Routing OLSR dan SOLSR Pada Wireless Mesh Network
10,Klasifikasi Berita Twitter Menggunakan Metode Improved Naive Bayes
10,Rekomendasi Pemilihan Properti Kota Malang Menggunakan Metode AHP-SAW
10,Implementasi Algoritma Modified K-Nearest Neighbor (MKNN) untuk Klasifikasi Penyakit Demam
10,Analisis Estimasi Biaya Pembuatan Perangkat Lunak Menggunakan Metode COCOMO II di Inagata Technosmith (Studi Kasus : Sistem Informasi Monitoring dan Evaluasi Penerimaan Beasiswa Santri Berprestasi UIN Malang)
10,"Perancangan Arsitektur, Pembangunan Web-GIS, dan Analisis Kesesuaian Lahan Pertanian Tanaman Padi Menggunakan Metode GIS-MCDA di Kota Batu"
10,Implementasi Metode Dempster-Shafer untuk Mendiagnosa Penyakit Tanaman Padi
10,Analisis Perbandingan Metode Replikasi Server untuk Kebutuhan Pemulihan Bencana (Studi Kasus Sistem Informasi Geografis Perusahaan XYZ)
10,Optimasi Komposisi Makanan Bagi Penderita Hipertensi Menggunakan Metode Particle Swarm Optimization
10,Pengembangan Elektronik-Sistem Akuntabilitas Kinerja Instansi Pemerintah untuk Dinas Perindustrian Kota Malang
10,Sistem Pendukung Keputusan Pemilihan Anggota Pengurus Harian Pondok Pesantren Menggunakan Metode Profile Matching (Studi Kasus Pondok Pesantren Putra Sabilurrosyad)
10,Halaman Sampul
11,Pengembangan Permainan Edukasi Simulasi Astronomi Menggunakan Teknologi Mobile Virtual Reality
11,Implementasi Metode Klasifikasi Fuzzy K-Nearest Neighbor (FK-NN) Untuk Fingerprint Access Point Pada Indoor Positioning
11,Sistem Pendeteksi Kebocoran Gas LPG Menggunakan Metode Fuzzy yang Diimplementasikan dengan Real Time Operating System (RTOS)
11,Peramalan Dosis Pupuk Berdasarkan Karakteristik dan Lingkungan Tanaman Jeruk Siam Menggunakan Metode Backpropagation
11,Implementasi Metode Promethee II untuk Menentukan Pemenang Tender Proyek (Studi Kasus: Dinas Perhubungan dan LLAJ Provinsi Jawa Timur)
11,Evaluasi Usability dan Perbaikan Desain Antarmuka Pengguna Situs Web Fakultas Pertanian (FP) Universitas Brawijaya
11,Optimasi Support Vector Regression (SVR) Menggunakan Algoritma Improved-Particle Swarm Optimization (IPSO) untuk Peramalan Curah Hujan
11,Implementasi Algoritma Genetika Pada Metode AHP dan SAW untuk Rekomendasi Varietas Unggul Tanaman Tebu (Studi Kasus: Pusat Penelitian Gula PTPN X Jengkol)
11,Pengembangan Game Platformer 2D Menggunakan Teknik Projection Mapping
11,Rancang Bangun Sistem Klasifikasi Frekuensi Penggunaan Minyak Goreng dengan Menggunakan Metode Bayes
11,Pengembangan Sistem Peringatan Dini Masa Kontrak Kerja Karyawan dengan Menerapkan Pendekatan Kolaboratif Athena pada Elisitasi Kebutuhan (Studi Kasus PT. Surya Optima Nusa Raya)
11,Prediksi Nilai Tukar Rupiah Indonesia Terhadap Dolar Amerika Serikat Menggunakan Metode Recurrent Extreme Learning Machine Neural Network
11,Peringkasan Teks Otomatis Pada Artikel Berita Kesehatan Menggunakan K-Nearest Neighbor Berbasis Fitur Statistik
11,Sistem Pendukung Keputusan untuk Rekomendasi Wirausaha Menggunakan Metode AHP-TOPSIS (Studi Kasus Kab. Probolinggo)
11,Analisa Kebutuhan dan Perancangan Sistem Informasi Produksi Dinas Peternakan dan Kesehatan Hewan Kabupaten Malang Berbasis Teknologi Service Oriented Architecture
11,Manajemen Bandwidth dan Manajemen Pengguna pada Jaringan Wireless Mesh Network dengan Mikrotik
11,Optimasi Komposisi Makanan untuk Penderita Hipertensi Menggunakan Algoritma Genetika dan Simulated Annealing
11,Penerapan Bot Frequently Ask Question (FAQ) FILKOM pada Jejaring Sosial Twitter
11,Implementasi Pervasive Service Discovery Protocol pada Rumah Cerdas Berbasis NRF24L01
11,Pelatihan Feedforward Neural Network Menggunakan PSO untuk Prediksi Jumlah Pengangguran Terbuka di Indonesia
11,Implementasi Metode Improved K-Means untuk Mengelompokkan Titik Panas Bumi
11,Implementasi Naive Bayes pada Embedded System untuk Menentukan Status Gizi Bayi
11,Peramalan Suku Bunga Acuan (BI Rate) Menggunakan Metode Fuzzy Time Series dengan Percentage Change Sebagai Universe of Discourse
11,Deteksi Penyakit Kucing dengan Menggunakan Modified K-Nearest Neighbor Teroptimasi (Studi Kasus: Puskeswan Klinik Hewan dan Satwa Sehat Kota Kediri)
11,Pengembangan User Interface Aplikasi Guide Me! Berbasis Web dengan Pendekatan Human-Centered Design
11,Prediksi Jumlah Follower Official Account Line Menggunakan Regresi dan Algoritma Genetika
11,Implementasi Algoritma Particle Swarm Optimization (PSO) untuk Optimasi Pemenuhan Kebutuhan Gizi Balita
11,Implementasi Metode Profile Matching Dengan Weighted Product Pada Seleksi Staf Operator Komputer (Studi Kasus : UPTD Pendidikan Kecamatan Tambakboyo Kabupaten Tuban Jawa Timur)
11,Analisis dan Pemodelan Proses Bisnis Bidang Pelayanan Perizinan Menggunakan Bussiness Process Model and Notation (BPMN) (Studi Pada Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Pemerintah Kota Malang)
11,Optimasi Biaya Bahan Menu Makanan bagi Penderita Penyakit Jantung dengan Menggunakan Metode Evolution Strategies
11,"Optimasi Scheduling untuk Proses Extract, Transform, Load (ETL) pada Data Warehouse Menggunakan Metode Round Robin Data Partitioning (Studi Kasus: Universitas XYZ)"
11,Pengembangan Sistem Aplikasi Manajemen Proyek Berbasis Web (Studi Kasus: PT. Swadaya Graha)
11,Implementasi Complementary Filter Menggunakan Sensor Accelerometer dan Gyroscope pada Keseimbangan Gerak Robot Humanoid
11,Optimasi Komposisi Bahan Makanan bagi Pasien Rawat Jalan Penyakit Jantung dengan Menggunakan Algoritme Particle Swarm Optimization (PSO)
11,Optimasi Fungsi Keanggotaan Fuzzy Tsukamoto menggunakan Algoritma Genetika untuk Diagnosis Autisme pada Anak
11,Sistem Rekomendasi Bahan Makanan Bagi Penderita Penyakit Jantung Menggunakan Algoritma Genetika
11,Sistem Pakar Diagnosis Penyakit Schizophrenia Menggunakan Metode Bayesian Network
11,Perbaikan Proses Bisnis Menggunakan Metode Business Process Improvement (BPI) (Studi Pada Bagian Riset Pemasaran dan Pusat Pelayanan Pelanggan PT. Petrokimia Gresik)
11,Optimasi Fuzzy Inference System Mamdani Menggunakan Algoritme Genetika untuk Menentukan Lama Waktu Siram pada Tanaman Strawberry
11,Prediksi Waktu Panen Tebu Menggunakan Gabungan Metode Backpropagation dan Algoritma Genetika
11,Halaman Sampul
12,Implementasi Pengendalian Quadcopter Dengan Prinsip Virtual Reality Menggunakan Google Cardboard
12,Aplikasi Perencanaan Wisata di Malang Raya dengan Algoritma Greedy
12,Rekonstruksi 3 Dimensi dari Video menggunakan Metode Structure-From-Motion (Studi Kasus: Wilayah Pertambangan Batubara)
12,Pemodelan Sistem Pemantauan Posisi Kereta Api Berbasis RFID Menggunakan Protokol Message Queue Telemetry Transport (MQTT)
12,Evaluasi Proses Bisnis Menggunakan Quality Evaluation Framework (QEF) (Studi Kasus : UD Honda II Kepanjen AHASS 06641)
12,Pengembangan Sistem Pembelajaran Pemrograman Java yang Atraktif Berbasis Website
12,Pemodelan dan Evaluasi Proses Bisnis Menggunakan Metode Quality Evaluation Framework (QEF) (Studi Kasus: CV. Mulyo Tani Makmur)
12,Analisis Faktor-Faktor yang Memengaruhi Seseorang untuk Menggunakan Website LAZADA dengan Menggunakan Structured Equation Modeling (SEM)
12,Sistem Rekomendasi Lowongan Pekerjaan Untuk Fresh Graduate Menggunakan Metode Weighted Product Berbasis Android
12,Pengelompokan Lagu Berdasarkan Emosi Menggunakan Algoritma Fuzzy C-Means
12,Optimasi Penjadwalan Mata Pelajaran Pada Kurikulum 2013 Dengan Algoritme Genetika (Studi Kasus: SMA Negeri 3 Surakarta)
12,Analisis Performa Protokol 802.11n Pada Mikrokomputer Raspberry Pi
12,Perbandingan Performansi Algoritme Kriptografi Advanced Encryption Standard (AES) dan Blowfish pada Text di Platform Android
12,"Pengembangan Iot Middleware Berbasis Event-Based Dengan Protokol Komunikasi CoAP, MQTT Dan Websocket"
12,Analisis Perbandingan Performa Algoritma Round Robin dan Least Connection untuk Load Balancing pada Software Defined Network
12,Implementasi Gateway berbasis NRF24L01 dan ESP8266 pada Protokol Message Queue Telemetry Transport - Sensor Network (MQTT-SN)
12,Pengembangan Sistem Informasi E-Complaint (Studi Kasus GraPARI Telkomsel Malang)
12,Pengembangan Aplikasi Pelatihan Otot Mata Penderita Miopia Menggunakan Metode Bates dan Teknologi Virtual Reality
12,Hibridisasi Algoritme Genetika dan Simulated Annealing untuk Optimasi Multi-Trip Vehicle Routing Problem with Time Windows (Studi Kasus: Pariwisata Kabupaten Banyuwangi)
12,Penerapan Algoritma Hybrid Pathfinding A* dan Boids untuk Game Pesawat Tempur
12,Evaluasi Tata Kelola Sistem Keamanan Teknologi Informasi Menggunakan Framework COBIT 5 Fokus Proses APO13 dan DSS05  (Studi Pada PT Martina Berto Tbk)
12,Implementasi Metode Dempster Shafer Dalam Diagnosis Penyakit Pada Tanaman Jeruk
12,Penentuan Komposisi Pakan Ternak untuk Memenuhi Kebutuhan Nutrisi Ayam Petelur dengan Biaya Minimum Menggunakan Particle Swarm Optimization (PSO)
12,Optimasi K-Means untuk Clustering Kinerja Akademik Dosen Menggunakan Algoritme Genetika
12,Penerapan Algoritma Monte Carlo Tree Search Pada Permainan Komputer Maze Treasure
12,Optimasi Kebutuhan Gizi untuk Balita Menggunakan Hybrid Algoritma Genetika dan Simulated Annealing
12,Sistem Pendukung Keputusan Pengurutan Berdasarkan Jenis Suara Anggota Baru Divisi Paduan Suara BIOS Menggunakan Metode Profile Matching (Studi Kasus: Logicio Choir FILKOM)
12,Evaluasi Sumber Daya Teknologi Informasi Perusahaan Menggunakan COBIT 5 (Studi Kasus: PT Krakatau Steel (Persero) Tbk)
12,Peringkasan Teks Ekstraktif Kepustakaan Ilmu Komputer Bahasa Indonesia Menggunakan Metode Normalized Google Distance dan K-means
12,Perbandingan Usabilitas Aplikasi Taxi Online Android (Grab-car dan Uber) Menggunakan Unified Theory of Acceptance and Use of Technology (UTAUT)
12,Analisis Sentimen Tentang Opini Pilkada DKI 2017 Pada Dokumen Twitter Berbahasa Indonesia Menggunakan Naive Bayes dan Pembobotan Emoji
12,Analisis Sentimen Tingkat Kepuasan Pengguna Penyedia Layanan Telekomunikasi Seluler Indonesia Pada Twitter Dengan Metode Support Vector Machine dan Lexicon Based Features
12,Analisis Sentimen Tentang Opini Film Pada Dokumen Twitter Berbahasa Indonesia Menggunakan Naive Bayes Dengan Perbaikan Kata Tidak Baku
12,Penentuan Lokasi Pasang Baru Wifi.id Corner Menggunakan Metode AHP dan Algoritma Genetika (Studi Kasus : PT. Telkom Witel Kediri)
12,Analisis Sentimen Terhadap Tayangan Televisi Berdasarkan Opini Masyarakat pada Media Sosial Twitter menggunakan Metode K-Nearest Neighbor dan Pembobotan Jumlah Retweet
12,Implementasi Learning Vector Quantization (LVQ) untuk Klasifikasi Kualitas Air Sungai
12,Peramalan Permintaan Daging Sapi Nasional Menggunakan Metode Multifactors High Order Fuzzy Time Series Model
12,Prediksi Volume Impor Beras Nasional dengan Metode Multi-Factors High-Order Fuzzy Time Series
12,Implementasi Algoritma Dijkstra Dalam Menemukan Jarak Terdekat Dari Lokasi Pengguna Ke Tanaman Yang Di Tuju Berbasis Android (Studi Kasus di Kebun Raya Purwodadi)
12,Sistem Pendukung Keputusan Pemilihan Personel Homeband Universitas Brawijaya Menggunakan Metode Profile Matching
12,Diagnosis Penyakit Kulit Pada Kucing Menggunakan Metode Modified K-Nearest Neighbor
12,Implementasi Metode Profile Matching untuk Seleksi Penerimaan Anggota Asisten Praktikum (Studi Kasus : Laboratorium Pembelajaran Kelompok Praktikum Basis Data FILKOM)
